KB,Description
KB3178539,Not in lookup table
KB3179573,Not in lookup table
KB3179574,Not in lookup table
KB3181988,Not in lookup table
KB3184122,Not in lookup table
KB3184471,Not in lookup table
KB3184943,Not in lookup table
KB3185319,Not in lookup table
KB3185911,Not in lookup table
KB3186539,Not in lookup table
KB3186568,Microsoft .NET Framework 4.7 for Windows 10 Version 1607 and Windows Server 2016 for x64 (KB3186568)
KB3188128,Not in lookup table
KB3188730,Not in lookup table
KB3188740,Not in lookup table
KB3191564,Not in lookup table
KB3191566,Not in lookup table
KB3192392,Not in lookup table
KB3194343,Not in lookup table
KB3197873,Not in lookup table
KB3199986,Update for Windows Server 2016 for x64-based Systems (KB3199986)
KB3202790,Not in lookup table
KB3205400,Not in lookup table
KB3209498,Not in lookup table
KB3210132,Not in lookup table
KB3210135,Not in lookup table
KB3210137,Not in lookup table
KB3214628,Not in lookup table
KB4010250,Not in lookup table
KB4012212,Not in lookup table
KB4012213,Not in lookup table
KB4012864,Not in lookup table
KB4014504,Not in lookup table
KB4014505,Not in lookup table
KB4014510,Not in lookup table
KB4014512,Not in lookup table
KB4014562,Not in lookup table
KB4014573,Not in lookup table
KB4014574,Not in lookup table
KB4014579,Not in lookup table
KB4014581,Not in lookup table
KB4014596,Not in lookup table
KB4014598,Not in lookup table
KB4014604,Not in lookup table
KB4014611,Not in lookup table
KB4015193,Not in lookup table
KB4015546,Not in lookup table
KB4015547,Not in lookup table
KB4018271,Not in lookup table
KB4019213,Not in lookup table
KB4019263,Not in lookup table
KB4019990,Not in lookup table
KB4020322,Not in lookup table
KB4020821,Not in lookup table
KB4021558,Not in lookup table
KB4022717,Not in lookup table
KB4022722,Not in lookup table
KB4022730,Not in lookup table
KB4023834,Not in lookup table
KB4024843,Not in lookup table
KB4024847,Not in lookup table
KB4025252,Not in lookup table
KB4025333,Not in lookup table
KB4025335,Not in lookup table
KB4025337,Not in lookup table
KB4025376,Not in lookup table
KB4033369,Not in lookup table
KB4033428,Not in lookup table
KB4033989,Not in lookup table
KB4033997,Not in lookup table
KB4034662,Not in lookup table
KB4034672,Not in lookup table
KB4034679,Not in lookup table
KB4034733,Not in lookup table
KB4036586,Not in lookup table
KB4038779,Not in lookup table
KB4038793,Not in lookup table
KB4038806,Not in lookup table
KB4040966,Not in lookup table
KB4040967,Not in lookup table
KB4040972,Not in lookup table
KB4040974,Not in lookup table
KB4040980,Not in lookup table
KB4040981,Not in lookup table
KB4041678,Not in lookup table
KB4041687,Not in lookup table
KB4041777,Not in lookup table
KB4043763,Not in lookup table
KB4047206,Not in lookup table
KB4048951,Not in lookup table
KB4048960,Not in lookup table
KB4048961,Not in lookup table
KB4049065,Not in lookup table
KB4049068,Not in lookup table
KB4051956,Not in lookup table
KB4052978,Not in lookup table
KB4053577,Not in lookup table
KB4054176,Not in lookup table
KB4054177,Not in lookup table
KB4054521,Not in lookup table
KB4054522,Not in lookup table
KB4054566,Not in lookup table
KB4054590,Microsoft .NET Framework 4.7.2 for Windows 10 Version 1607 and Server 2016 for x64 (KB4054590)
KB4054854,Not in lookup table
KB4054980,Not in lookup table
KB4054998,Not in lookup table
KB4054999,Not in lookup table
KB4055001,Not in lookup table
KB4056568,Not in lookup table
KB4056887,Not in lookup table
KB4073700,Not in lookup table
KB4074587,Not in lookup table
KB4074595,Not in lookup table
KB4074597,Not in lookup table
KB4074736,Not in lookup table
KB4074837,Not in lookup table
KB4088785,Not in lookup table
KB4088878,Not in lookup table
KB4088879,Not in lookup table
KB4089187,Not in lookup table
KB4089510,Not in lookup table
KB4091664,Not in lookup table
KB4092946,Not in lookup table
KB4093110,Not in lookup table
KB4093115,Not in lookup table
KB4093137,Not in lookup table
KB4095515,Not in lookup table
KB4095874,Not in lookup table
KB4095875,Not in lookup table
KB4096236,Not in lookup table
KB4096417,Not in lookup table
KB4098972,Not in lookup table
